id,restaurant_address,restaurant_name,restaurant_cuisine,restaurant_rating,res_id
215,MR 10 Road,Shubham Chinese Point,Chinese,3,183ce68c-d1d5-4950-a465-2e54afe1fbc7
216,Annapurna Road,Goli Vada Pav No. 1,"Street Food, Maharashtrian",3.3,2778ac9e-c150-467b-b6c2-b3de82875ffb
217,Malharganj,Mittal Kachori,Fast Food,3.6,5a31c3ce-2b47-481c-a3e9-48201fe3118f
218,Sapna Sangeeta,Vadilal Ice Cream,"Desserts, Ice Cream",3.4,de16b598-3995-491b-9ac3-617602926d7d
219,"Malhar Mega Mall, Vijay Nagar",Bombay Bhel,Street Food,2.8,25c30d33-a074-4f8a-a886-0790b3398c22
220,Bhawar Kuan,Guptaji Paratha House,North Indian,3.6,39b3d6fd-6fc1-4013-b3de-a96491cea388
221,Sarafa Bazaar,Honey Pizza,"Pizza, Fast Food",2.8,9c696db1-bb9e-4a3a-a4a6-c9b9a76ff3c3
222,Malharganj,Mr. Bhel Bhandari,Street Food,3.5,9e7f15d8-6cbd-4749-b35e-ebb9466ba06f
223,Jail Road,Shreenath Fariyali Khichdi,North Indian,3,e1a965dc-3ad2-4897-9e88-c7fafcf8eb71
224,Ranjeet Hanuman,Tea De Pot,"Tea, Coffee",3.6,349598f9-df15-4ef4-bf9d-f3e83423dc0b
225,Kothari Market,Agrawal Kachori Corner,"Street Food, Fast Food",3.8,8198285e-89bf-423a-935c-6cbd116a7982
226,Old Palasia,Tanishq Cafe,Coffee,3.3,e7c8ab01-3baf-45e5-b236-1ce27f1258e9
227,HIG-LIG,Shree Mahalaxmi Moong Ke Bhajiye,Fast Food,3.5,29e3fb0e-25ed-4ab5-9f6a-0a8f8bd3074f
228,Jail Road,Shree Baba Sweets,Mithai,3.4,e2f1c7f7-9179-423f-8752-d4a2cb025b5f
229,Annapurna Road,Dairy Junction,Beverages,3.3,133ec279-14c9-4a13-be19-91def9614104
230,Vijay Nagar,Ramesh Masala Dosa,South Indian,3.4,621fa92b-8da2-48cb-b017-6759696d4e62
231,Bhawar Kuan,Baba Juice Centre,Street Food,3.5,e7b3acf8-bb9c-4bca-9437-89711b0dbcbe
232,Jail Road,Anantanand Alpahar Gruh,North Indian,3.3,a6980450-e32e-4e4d-a435-4b8da1db4165
233,Sarafa Bazaar,Kachori Corner,Street Food,3.4,437b3b8a-b796-4233-b611-70cc8a103e4a
234,"56 Dukan, New Palasia",Milap The Pan Destination,Paan,3.2,258ff9de-571b-4b21-a547-be67248edcda
235,Rajwada,RL Chat Bhandar,Street Food,3.5,4f863a65-74e4-4f27-b191-ead9bfa367d4
236,Vijay Nagar,Chintu Momos,"Tibetan, Street Food",3.2,97c4c5c0-9b2f-4be5-b4ad-2398a9fb33b9
237,Navlakha,Prem Paratha,North Indian,3.1,0000b415-0605-4803-9419-e01bf2ce10da
238,Sarafa Bazaar,Potato Uncle,Fast Food,3.7,be3616fe-1ac4-42f5-af56-5f4a8a8f7e76
239,Khajrana,Shree Parshwanath Pan Sadan,Paan,3,cd4ce489-4a38-4014-85d7-35570593ca3a
240,Sarafa Bazaar,Agrawal Juice and Ice Cream,"Ice Cream, Juices, Beverages",3.3,5295dab9-26de-4517-848a-12b1c767bf2d
241,Chhavani,Mangal Sweets,Mithai,3.1,f89cefb5-05f5-4583-ae92-a6be3b9fdee6
242,Jail Road,Shahi Khaman- Jalaram Farsan,Gujarati,3.1,0bc61702-bf52-4728-bb9f-968fea044360
243,Sarafa Bazaar,Baba Shree Paan,Paan,3.3,58a60307-05bb-4413-884d-88ca452a323f
244,Vijay Nagar,Agrawal Nashta,Street Food,2.8,ddc6f288-d7fe-4ced-884f-f034cf42153d
245,MR 10 Road,Shri Bharkha Devi Ice Cream,"Ice Cream, Chinese",3.2,c93c3e31-b5a6-42b3-9572-731070593ac0
246,Vijay Nagar,Chintu Momos,Momos,3.3,7df69005-34f5-4f67-9f4e-f844df39144c
247,New Palasia,Goyal Fruit Juice Centre,Beverages,3.2,5add30bc-2a9e-4c97-874e-a1576542b6ec
248,Manik Bagh Road,Mahadev Lassi,Beverages,3.2,eb6eedd4-07f3-496a-a193-1de2be18f613
249,Vijay Nagar,Karnawat Bhojan Prasadi,North Indian,3,9e448c86-efc6-4f6c-9a20-6e7e25a9c9d8
250,Vijay Nagar,Shree Parshwanath Pan Sadan,Paan,2.8,5ba61a93-13ee-4ac6-980c-198321be1a77
251,Geeta Bhavan,Vedant Chat Chaupati,Street Food,3.2,9474ed30-2c1f-44a0-9203-8de5281a5112
252,Sarafa Bazaar,Indori Chinese point,Chinese,3,586d8661-e994-42d2-9bac-9a178a60125d
253,Sarafa Bazaar,Bombay Bahu Chinese Point,"Chinese, Fast Food",2.8,463b909b-f7de-4a0f-8a55-d3a5be672d13
254,"56 Dukan, New Palasia",Prayas Foods,Street Food,2.8,e36ff378-293d-4c26-ba5b-9f12fc78ae94
255,Annapurna Road,Iceland Vadilal,"Desserts, Ice Cream",2.7,721c48f6-5ba8-4c2c-ab34-4e7a4eb18a1b
256,Mari Mata Square,Jail Cafe Chai Bar,Fast Food,3.3,ef8d5d54-da72-4ea6-a2bb-1f96a3ca5946
257,Khajrana,Pooja Kanchan Pan,Paan,3.5,634ca37f-c62c-4f6a-9146-23f3a0b6d72b
258,Geeta Bhavan,Bholainath Fariyali Khichdi Center,"Sandwich, Fast Food, North Indian",3.1,5edc10c9-9dec-4f40-9991-e8b8ec42e495
259,YN Road,Shree Parshwanath Pan Sadan,Paan,3.2,a8bf8758-2e7a-4595-937f-817953210f48
260,Sudama Nagar,Sai Kripa Refreshment,"Fast Food, Street Food, South Indian, Bakery",3,84bc46be-3e93-452d-9ab4-bf4a35f30d6b
261,Sarafa Bazaar,Bombay Refreshment,Street Food,3.1,9b39b4c7-b76d-435c-9cf5-7b83d0c0f4a3
262,Gangwal Bus Stand,Salasar Snacks By Kharab Chai,Street Food,3,154e509b-672b-43e6-b7f0-a6a5dbf3eaf2
263,Vijay Nagar,Jai Bajrang Bombay Bhel,Street Food,2.9,a1f6bc29-6d46-40eb-9bd2-2d3ee426bc98
264,Vijay Nagar,Hot Point (The Royal Omlette),Street Food,3.3,57c92f81-62a6-4c62-8fec-04135894951d
265,Vijay Nagar,Hot Point (The Royal Omlette),Street Food,3.1,aaa8faf1-9f14-4524-a5ec-b9703418d88d
266,Vijay Nagar,Chintu Veg Momos,Momos,3,d8bd5a1e-25d6-4554-a864-d2fb0399edf2
267,Annapurna Road,Baba Nariyal Pani,Beverages,3.1,cbdbb33e-6c44-4e11-90c2-04ca66158854
268,Geeta Bhavan,Jai Shree Mahakal Juice Center,"Beverages, Juices",3.1,4ff3a54f-68f5-4f66-92d9-a6350ab328a9
269,Sarafa Bazaar,Baba Nariyal Pani,Beverages,3.3,d26f38d4-5bcf-419f-8153-090a5b5c16f9
270,Vijay Nagar,Veg Bites,Fast Food,3,8c282459-8402-4646-91a7-c41c126d25ff
271,Vijay Nagar,Amrit Shri Ice Cream Parlour,"Ice Cream, Desserts",2.9,e9ae9062-f775-4e87-aa28-05c01a1f65cc
272,Annapurna Road,Jai Ranjeet Gajak Bhandar,Mithai,3.1,efb6d89a-fe23-4c1f-8984-37b8b3681afa
273,Rau,Babu Bakery and Dudh Dairy,"Bakery, Desserts",3,3fb0ec5d-cd42-42ff-8d74-9ea3a54c787c
274,Airport Road,Choice Namkeen,Street Food,2.9,c8a41137-e6ee-444e-acc0-c4b5658783e2
275,By Pass Road (North),Choice Namkeen,Street Food,3.1,777b1639-0cda-4830-a881-aeb75004a020
276,New Palasia,Jai Bajrang Bombay Bhel,Street Food,2.9,e5144fff-d1e1-41b2-849d-e3f0f4590184
277,Vijay Nagar,Jay Mahakal Aloo Paratha,North Indian,3,3eee0a7b-b018-4e02-ac06-1be30b4640be
278,Vijay Nagar,Chai Network,"Beverages, Fast Food",3,7db6e511-cb4e-4349-aa78-5e44c3203626
279,HIG-LIG,Anil Cafe,Street Food,3.1,c7cf099d-3613-4087-83ae-2728044c96e7
280,Vijay Nagar,Shree Balaji Juice Centre,"Juices, Beverages",3,d2cf1679-d71f-44b5-a236-49c0d673ae94
293,Vijay Nagar,Simi's,"Bakery, Desserts",4.6,1b755360-15ee-4908-b39e-16395cd4faef
295,Vijay Nagar,Masters Bakery Krozzon,"Bakery, Fast Food",4.6,a38f45b9-b8e8-425a-93f1-0dff529c6e4b
298,"Hotel Shreemaya Residency, Press Complex",Shreemaya Celebrity,"North Indian, South Indian, Italian, Chinese, Street Food",4.5,fb6144c0-133b-41e1-b3cb-9080e6b999fa
303,South Tukoganj,South Avenue,North Indian,4.5,d56b4626-a5f8-4fa9-b7d6-dd7de744fc1d
320,Sapna Sangeeta,Veera Di Hatti,North Indian,4.4,2ce1b8a5-a0a6-4502-8108-d4226e4172e2
321,Old Palasia,Atul Sandwich And Cafe,Fast Food,4.4,c38ee5f6-0e58-4ec6-8418-ca82d0033296
325,Vijay Nagar,Naturals Ice Cream,"Desserts, Ice Cream",4.4,b5425eb9-061e-4cd8-a6c7-181616ccbe12
341,Bhawar Kuan,Pleasure House,"Cafe, Fast Food",4.3,a76a05b8-470c-403b-95a3-b82d8f2e61c4
342,Vijay Nagar,Shreemaya Celebrity,"North Indian, South Indian, Italian, Chinese, Street Food",4.3,1625da42-bd5a-4535-a10b-d6cdbdd5356d
343,Vijay Nagar,Cakesmith's Alley,"Bakery, Fast Food",4.3,4123089a-f147-4a22-9663-52677c724e0c
344,"56 Dukan, New Palasia",Urban Desi Bistro,"North Indian, Mughlai",4.3,577e69bb-df75-4d40-9461-fc4cd0c4af00
345,By Pass Road (South),Fork It Cafe,"Cafe, Fast Food",4.3,ac40a9ed-f333-4f72-b419-92c89e2bba8e
347,Old Palasia,Chef Lucky's Paratha On Wheels,"North Indian, Fast Food, Biryani",4.3,889c6069-b6c8-4cfc-bdc0-50e67a546e7e
348,New Palasia,Om Namkeen,Street Food,4.3,e82129ac-5596-458d-9994-008ed6a2bfe2
350,Vijay Nagar,Drunken Monkey,"Beverages, Healthy Food, Fast Food",4.3,75dd096f-a77a-4634-8ecf-305bd84dd749
351,New Palasia,Cakes & More,"Bakery, Desserts",4.3,99a69073-8453-44c2-86c7-12c4bed172ad
352,Vijay Nagar,Hangover The Gastro Pub,"North Indian, Italian",4.3,a0d2d583-c610-49c7-b8ce-76fd02f7e0f0
364,Old Palasia,Faasos,"Fast Food, North Indian, Biryani, Rolls, Wraps",4.2,c4e839d3-a7a5-452e-b072-14ddaad42127
365,Bhawar Kuan,Oye Pappe,"North Indian, Fast Food",4.2,d8785097-1fa5-40cb-8a83-49aea428efa1
366,Rau,Chef's Alcove,"American, Mexican, Italian",4.2,d1fb9e60-98d5-432e-a15d-abf3b7301bcb
367,"56 Dukan, New Palasia",Oye Pappe,"North Indian, Street Food",4.2,1f74bca1-c98f-43ce-aa39-33edf3bce625
369,Old Palasia,Tinku's,"Sandwich, Fast Food, Beverages",4.2,445be7e6-337a-4b57-a0fe-cc67f751e53e
370,New Palasia,Cream Stone,"Ice Cream, Desserts",4.2,e8bee8ed-5a91-4749-a9bd-92147720a1e1
371,YN Road,Bake Affaire,"Fast Food, Bakery",4.2,43dbc8d4-861c-40ae-9790-ebd57f70507f
373,"Mangal City Mall, Vijay Nagar",Faasos,"Fast Food, North Indian, Biryani, Rolls, Wraps",4.2,754f1caf-316a-4eb3-b76b-edcac0c4fb29
374,Old Palasia,Laxmi Narayan Doodhwala,"Mithai, Fast Food",4.2,0dd885da-f211-497a-a1ee-364a831d6f1e
375,Old Palasia,Shree Gautam Chinese,Chinese,4.2,75ee0cfd-d65e-4722-875e-d9ab1a019c54
376,YN Road,Tea Diaries,Cafe,4.2,fe4d21a2-1c61-44d7-adee-2775d00dea94
378,Old Palasia,Waffles & More,"Cafe, Desserts",4.2,cb8fc7f3-0192-477f-ab02-635ee8af5128
379,Old Palasia,Keventers,"Beverages, Desserts, Ice Cream",4.2,7c0671d4-73fa-4d14-a3e7-2102bdf9ce50
380,Sapna Sangeeta,Om Namkeen,Street Food,4.2,5fb25ff7-45c2-4e83-ba4d-cf2ba044e569
381,"The Red Maple Mashal, Rau",Nautica - The Red Maple,"North Indian, Chinese",2.1,3610d350-50af-46ae-a572-acf0d3e7f8ce
382,Vijay Nagar,The Container Cafe,Fast Food,2.2,cff0fd13-82b6-4746-a677-d7816666300d
383,By Pass Road (North),Shri Balaji,"North Indian, Chinese",2.2,85107b7a-ef79-4ee8-bb78-343a17f989ce
384,"The Red Maple Mashal, Rau",Woodstock Cafe - The Red Maple,"North Indian, Chinese, Cafe",2.3,f425de9a-c6e9-494b-b9d6-fd87b6a4119d
385,Rau,Apna Sweets,"Mithai, North Indian, South Indian, Beverages",2.4,d39f063d-dde9-4d52-93c4-fbd55e1c7005
386,Chhavani,Chai Kaapi,"Fast Food, Beverages",2.4,3356b9f0-b2ad-4344-9203-cdf36a310b3f
387,"56 Dukan, New Palasia",LIG Maggie & Pasta,Fast Food,2.4,98143b14-c0bc-4b38-9b51-d0bafe4b7559
388,By Pass Road (North),Khana Khazana K2,"North Indian, Chinese",2.4,b0eb3397-6305-4cec-b7c9-8cbd66dc84ea
389,"Golden Gate, Vijay Nagar",Bocca Buona,"Cafe, Fast Food",2.4,9551f650-aef1-4329-86ff-39613bd146ae
390,Vijay Nagar,Jain Mithai Bhandar,"Mithai, Street Food",2.4,868e4029-5fce-4b9d-8088-a7ac59011933
391,By Pass Road (North),Angithi Restaurant,"North Indian, Chinese",2.4,88217731-7c95-4584-80c6-ea359938f974
392,YN Road,Mharo Rajwaad,Rajasthani,2.5,6f486a82-b261-4de5-a472-698abe20e9ed
393,"Mathurawala, Airport Road",Mathurawala Sweets,Mithai,2.5,0284d82f-84b5-4080-b627-85c850fb91f1
395,Bhawar Kuan,Gyani's Kafe,"Fast Food, Desserts",2.5,cd0494d8-56f5-46fc-bc5b-8711cb8b0889
396,By Pass Road (South),Baree's - Punjabis By Nature,"North Indian, Chinese",2.5,de4d50e8-f157-4cf8-aca7-217fe12929db
397,Old Palasia,FOI- Food of Indians,"Fast Food, Momos, Beverages",2.5,72a528d9-b226-4d28-8c2d-db7e050084e4
398,Vijay Nagar,Ab Tak 56,"Sandwich, Fast Food, North Indian",2.5,693194e1-368e-4558-855b-24d3904a0b3f
399,HIG-LIG,Bherunath,"Fast Food, North Indian",2.5,4713dd34-31af-4018-a130-0e1df3d39ea2
400,Manik Bagh Road,Cakes To Indore,Bakery,2.5,cbc1e002-7a57-4ba8-b664-ab8535578413
401,Vijay Nagar,Mr. Bawarchi,"North Indian, Fast Food",2.6,09c82e69-632f-4624-acbb-832127478307
402,Khajrana,Mclaren's Cafe,"Cafe, Mexican, Fast Food",2.6,c0437bcb-d0a5-4776-ac75-0887dd70eb3c
403,Bhawar Kuan,The Cafe Square,"Cafe, North Indian",2.6,ffd12bfb-bf92-4df1-be59-d25e78c01a0d
404,Bhawar Kuan,Cafe Lagoon,"Fast Food, Beverages",2.6,054ad78b-023e-49d5-bf8f-4a4e7180e82c
405,Geeta Bhavan,Famous Dal Bafale,Rajasthani,2.6,55c96968-1c04-437e-a2b5-001e2157c6ca
406,Vijay Nagar,Youth Adda,"North Indian, South Indian, Fast Food",2.6,62a6f618-16a8-4aca-995c-9f2d15da7ddf
407,Vijay Nagar,Mid Town Madness,"North Indian, Chinese",2.6,56cebffe-9c89-4abc-8236-36da94b9ce27
408,By Pass Road (North),Clam O Bar,North Indian,2.6,ae91daae-4cac-4ef7-ad2e-6d60a510e58f
409,"Treasure Island Mall, South Tukoganj",Victoria Club & Lounge,"Finger Food, North Indian, Chinese",2.6,739c254c-676e-4301-a595-903ae18e71b1
410,Sudama Nagar,Gabba's Cake,"Desserts, Bakery",2.6,7439de83-0390-4d6a-8d31-2ecf6f68aa56
411,Rajendra Nagar,Alav,"North Indian, Chinese",2.6,c8d86a31-0027-4d47-b4b3-0a11dd0d9db4
412,HIG-LIG,Chaar Bhuja Sweets & Namkeen,Mithai,2.6,85b0e9f9-01e2-4e60-bc4e-a31da8f06161
413,"Treasure Island Mall, South Tukoganj",Ginger Ganesha,South Indian,2.6,8303c202-f06d-4084-97ec-fa488a640261
414,Airport Road,Shree Krishna Bhojnalay,North Indian,2.6,f6643522-56bb-47bc-9ec6-70313be50085
415,Rau,Yash Dhaba,"North Indian, Chinese",2.6,c0970e94-8dc4-49e8-bad8-412d53481a99
416,Old Palasia,Blackwood Cafe,"Sandwich, Fast Food",2.6,4e37561c-e779-4a2e-bbc1-5d160ae2428f
417,Navlakha,Mamaji Restaurant & Bhojnalay,North Indian,2.6,337aefc7-6872-47fb-8d5f-c3651534cb7a
418,Sapna Sangeeta,Al - Quddus Restaurant,"North Indian, Chinese",2.6,2428a12c-7d88-4c39-837b-ad8ec070f9c2
419,Sudama Nagar,Khaoo Restaurant,North Indian,2.6,c8a021b1-546c-4d38-bc42-2527af43e418
420,Gangwal Bus Stand,Hotel Pearl & Restaurant,"North Indian, Chinese",2.6,43bc7657-73f7-4e82-b19e-0ae74839b935
421,Airport Road,Domino's Pizza,"Pizza, Fast Food",2.7,ae0618b4-9a8e-498c-b2e5-bc60ab324415
422,Vijay Nagar,Sam's Pizza,"Fast Food, Pizza",2.7,fad1ab49-fefd-46c3-a85d-3ffa28ce8a3a
423,Sudama Nagar,Mithas 24,"Mithai, Fast Food, Street Food",2.7,4bec8f5c-484d-4a52-9e97-0f00d53c385f
424,"BCM Heights, Vijay Nagar",Panditji - Pure Veg Restaurant,"North Indian, Chinese",2.7,21547772-9743-4310-b1d0-4ea6c3259ba6
425,Annapurna Road,Beyond Temptation,"Cafe, Sandwich, Fast Food",2.7,23b35a60-355b-4bf4-884d-4d1ff75de7d6
426,Vijay Nagar,Tea Post,"Cafe, Fast Food",2.7,b28bb279-2187-4b49-8951-164d918a3e86
427,"Mathurawala, Airport Road",Mathurawala Restaurant,"Chinese, South Indian, Fast Food",2.7,9837bf8e-067e-4af5-8aa0-caea5dccb0d8
428,Vijay Nagar,Hat's Off,"North Indian, Chinese",2.7,5ddbaf95-8f01-4584-a05b-ee5cfd711ef6
429,"Hotel Kings Park, Bhawar Kuan",Saffron,"North Indian, Chinese",2.7,c8a1ab7b-78a3-4824-90c2-b1ac103be0dc
430,Sapna Sangeeta,Delhi Darbar Dhaba,North Indian,2.7,b8ce9d42-3e2f-4177-a8a9-1abb1cc5b9d7
431,South Tukoganj,India Junction,"North Indian, Chinese, Salad",2.7,28f95d70-a291-4af8-82e1-4e633f22be7f
432,MR 10 Road,Destiny Kitchen,North Indian,2.7,2d732c94-e1a1-470a-9a8d-9d7e97ccec23
433,Vijay Nagar,CBZ,Fast Food,2.7,d2b22756-068c-4a6e-ba9e-5fbca5e1e722
434,MR 10 Road,Black Pearl,"North Indian, Fast Food",2.7,f67295fc-87f6-4edf-9121-098c1c89d211
435,Old Palasia,Cafe Coffee Day,"Beverages, Cafe, Sandwich, Fast Food",2.7,e5a0826c-f8d6-4655-a184-430c8e0e8bf9
436,Khajrana,The Indorie Kitchen,Fast Food,2.7,d345dad8-2eee-4513-8a56-d3bbfc5c3c61
437,"Malhar Mega Mall, Vijay Nagar",Cafe Idiots,"South Indian, Fast Food, Tea, Beverages",2.7,f87f047e-ec94-447f-8a4b-21f26504bf60
438,HIG-LIG,Sky Hi,"Fast Food, Chinese",2.7,253cfa1f-5c4e-4bc5-a1f5-396fe915c4c6
439,Sudama Nagar,Chinu's Cafe,Fast Food,2.7,73ba3e0d-f894-4ee9-8bc6-0ac9b3b88f68
440,Vijay Nagar,Cafe El Carpediem,Cafe,2.7,7eb5d581-2f8e-4de8-9cc0-74ae197606ef
441,New Palasia,The London Salon & Cafe,Fast Food,2.7,e3e19178-bc64-41d2-9bd4-b1ab9b4d9b49
442,By Pass Road (North),Cake's Valley,"Bakery, Fast Food",2.7,966cfebf-7834-4d6c-b442-6e8860003913
443,Old Palasia,Shri Bhojanalaya,North Indian,2.7,bb55c260-e9c3-4201-a730-6d16b2dd17ed
444,Sarafa Bazaar,Momos Villa,Tibetan,2.7,6e7c244e-4338-4c45-8ad5-66965c4b1665
445,"Mangal City Mall, Vijay Nagar",seon veg restaurant,"North Indian, Fast Food, Beverages",2.7,d5e3a6a6-8c52-453f-8655-6e1acfc622fa
446,"Treasure Island Mall, South Tukoganj",Chillz,Beverages,2.7,3141e8c2-5bf8-4d4a-8a86-1e5f30be35c3
448,HIG-LIG,Shraddha Chinese  Point,"Chinese, Fast Food",2.7,3d83c0fe-d87c-43e8-a8f5-8f2584525360
449,Gangwal Bus Stand,Yashika Palace,"North Indian, Chinese",2.7,04f9d47f-dfb8-4cc4-a800-78c73c38b872
450,Bhawar Kuan,Dev's Bakery,"Bakery, Fast Food",2.8,b0d84605-e705-491c-ab6f-21277a86a349
451,Geeta Bhavan,K2H Cafe and Restaurant,"North Indian, Fast Food",2.8,cb5996ba-b29f-4a4f-b0cd-d02cd89fd8b7
452,"56 Dukan, New Palasia",OMG Lunch Buzzer,"North Indian, South Indian, Chinese",2.8,41c7ee07-635b-427e-a58f-6c305316dff5
453,Old Palasia,The London Shakes & Cafe,"Beverages, Fast Food",2.8,bf0f98e5-0438-4b49-95f0-641db4196a91
454,Vijay Nagar,Cake Boutique,"Bakery, Fast Food",2.8,e4b546ad-9729-4257-9f04-f88a01b79443
455,Khajrana,Biryanotech Cafe,"Fast Food, North Indian, Chinese",2.8,fb2a2fb2-5a3f-4335-bcbf-37890d3e9ad4
456,Bhawar Kuan,Cafe Emotions,"Cafe, Fast Food",2.8,2b4683dc-68ae-4525-b5fc-3533ecb912e0
457,Bhawar Kuan,Big Boss Restaurant,"North Indian, Chinese, Fast Food, Desserts",2.8,c392fdee-a835-49ef-80de-6f0fc007e9aa
458,MR 10 Road,Amrapali Restaurant,North Indian,2.8,b6d34e85-f3f2-4688-8a60-e483abebfa9b
459,Vijay Nagar,Maakhan Mishri,"Fast Food, South Indian, Street Food",2.8,c2cc1199-a7d4-4321-a2c4-e697e7c00e90
460,"56 Dukan, New Palasia",Chick N Serve,Fast Food,2.8,1d61b46f-2ed2-4cf2-b579-01a1a7089241
461,Vijay Nagar,Jain Bhojanalay,North Indian,2.8,3ceee623-7af3-4f8a-81ed-6ff3e96ffcb7
462,Sarafa Bazaar,Agrawal Sweets,Mithai,2.8,816df4da-c0c5-45eb-b464-b1b6e2d3bf5b
463,Bhawar Kuan,Cafe Cubano,"Italian, Fast Food",2.8,0e07b0db-1023-4f87-90e4-7307db46fdb0
464,MR 10 Road,Kadaknath Special Chicken Restaurant,North Indian,2.8,fe75a206-8d52-49c4-8c47-94a64bc03829
466,Manik Bagh Road,Mugs And Beans,"North Indian, Italian, Fast Food",2.8,a4ee2e8f-bf58-40be-807d-6b640731db60
467,"Treasure Island Mall, South Tukoganj",Subway,"Healthy Food, Sandwich, Salad",2.8,e55e0b79-69b8-49f4-bb7e-fde9e560a0ec
469,Geeta Bhavan,Chickenlicious Indore,Fast Food,2.8,1030d694-d12f-4ef3-acfd-ba4801d200be
470,Rau,Eenadee Cafe N Restaurant,Cafe,2.8,6f27d250-a16a-47d9-abeb-65aaf292c231
471,Vijay Nagar,Sawariya Khichdi,North Indian,2.8,0c3fe6f1-6808-4e5d-8d42-42836d4f5ade
472,Khajrana,Nation Nutrition,Healthy Food,2.8,4c59f535-3d01-42e9-9625-cc99a84d193c
473,Sapna Sangeeta,The London Shakes & Cafe,"Beverages, Fast Food",2.8,1dec260d-246d-4b8f-a2be-8894b578fd55
474,Khajrana,Chai Kaapi,"Fast Food, Beverages",2.8,19d4f40c-edb2-423f-ae91-7b0066946953
475,Gangwal Bus Stand,Ajab Gajab,"South Indian, North Indian, Chinese, Street Food",2.8,b1382576-56a9-4d1b-95e8-d5c9a7061c68
476,"Mathurawala, RNT Marg",Mathurawala Chat Chowpati & Bakery,Street Food,2.8,1710c252-a083-4331-9fa9-9eb6fa3d3e4f
477,Vijay Nagar,K2H,"North Indian, Chinese, Fast Food",2.8,73cc2374-5de6-4f30-ab18-fe885cd5f619
478,Malharganj,MealGaadi,"North Indian, Fast Food",2.8,4404d37e-9310-4940-8e15-1f94dc690d4a
479,Bombay Bazaar,Nema Gajak Kulfi,Desserts,2.8,e9359fe8-cf55-4acd-a557-3179c01b4c04
480,MR 10 Road,Shree Nath Restaurant,North Indian,2.8,8320889a-e11a-4952-9f13-a96cadfb2ef1
530,Bombay Bazaar,Apna Sweets,"Mithai, North Indian, South Indian, Beverages",3.2,958a4783-f836-40d4-b2a6-7e585c754182
532,Old Palasia,Cakes N' Craft,"Bakery, Desserts",3.9,2cd839d1-212d-4ae1-bff9-3b9fd2f405df
533,Sudama Nagar,Domino's Pizza,"Pizza, Fast Food",3.4,834aee85-9e3f-439d-acc5-dee418630fb7
535,Vijay Nagar,Nom! Nom! Chinese,"Chinese, Seafood",4.1,11e7c470-dfd7-48df-a168-c9d454dde62d
543,Khajrana,Khaanafest,"North Indian, Chinese, Beverages",3.9,ab5cd171-0b8b-4b29-b92d-faa9c059fe0e
544,Gangwal Bus Stand,Madni Non Veg Restaurant,"North Indian, Biryani",4.1,55cf6cf1-e394-481f-8e48-f72857d6ef44
545,Old Palasia,Chai Kaapi,"Fast Food, Beverages, Tea",4.1,6195a090-8fba-4857-97d7-5fc8e18d3f32
546,Old Palasia,Chakhna Cafe,"Chinese, Fast Food, North Indian, Beverages",3.9,598f7829-495e-4eae-ae58-30a6e2363f84
547,Old Palasia,Pizza Hut,"Pizza, Fast Food, Italian",3.3,decc74fc-b8ba-462d-973c-52566fa14c7c
549,"BCM Heights, Vijay Nagar",The Chocolate Room,"Cafe, Desserts",3.9,785368b6-8467-4fe0-ad94-08eed6ee6a44
550,"56 Dukan, New Palasia",Sam's Momos,"Momos, Chinese, Rolls, North Indian, Fast Food",4,55834023-8770-4162-848f-e80b3ba095f8
551,"Mangal City Mall, Vijay Nagar",McDonald's,"Burger, Fast Food, Beverages, Cafe, Desserts",4.1,7a854a1c-1102-41ff-b780-5b624661ac87
554,Vijay Nagar,Noor's Kitchen,"Mughlai, North Indian, Kebab",4,5db5de2b-c497-4ec3-98b2-f17db4b2325d
555,Sudama Nagar,Yummy Tummy The Cheese Bar,"Fast Food, Street Food",3.9,26cf01e7-7a0f-401c-b814-d919c00c2f46
556,RNT Marg,Domino's Pizza,"Pizza, Fast Food",3.7,12d61c04-126e-4224-8d97-e106ad7088c2
558,By Pass Road (North),Midnight Chillies,North Indian,3.7,00f87c13-868f-46d9-a995-80269874f6bd
559,New Palasia,Cafe Kono,Cafe,4,4139c4b9-fd50-4c2b-b277-079d76e399d4
560,Sapna Sangeeta,Cafe Kono,"Sandwich, Fast Food, Beverages",4,896ff9d1-caae-474e-b048-d3c2a98f5552
562,"Treasure Island Mall, South Tukoganj",McDonald's,"Burger, Fast Food, Beverages, Cafe, Desserts",4.1,aeff7483-2ce9-4543-a1ac-c67ff3197663
563,Bhawar Kuan,McDonald's,"Burger, Fast Food, Beverages, Cafe, Desserts",4.1,755a1fcf-bf74-4db8-9279-fff1804beea2
564,"Malhar Mega Mall, Vijay Nagar",Panchavati Gaurav,"Gujarati, Rajasthani",3.9,b3992297-6bf0-4582-b260-638c30cf13fd
566,Rau,Wanna Puff,"Fast Food, Beverages",3.7,bb25bd73-cd6b-46f4-bf6c-ce4cc9036b70
567," Hotel Somdeep Palace, Vijay Nagar",12 AM - Hotel Somdeep Palace,North Indian,4.1,0a568b92-347c-4649-a3f2-72a5a1dfbebd
568,Bombay Bazaar,Saify Hotel,"North Indian, Mughlai",4,a5edbff2-7ca9-4578-8b63-4651290a45b0
571,Sarwate Bus Stand,Hotel Shree Leela,North Indian,3.8,0139df89-70bf-4b69-9fff-574c1bbec69d
